PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39782564,Drug Development.,2024 Dec,,,Unknown
39782541,Correction: Camptothecin-based prodrug nanomedicines for cancer therapy.,2025 Jan 9,,,Unknown
39782501,Drug Development.,2024 Dec,,,Unknown
39782258,Dementia Care Research and Psychosocial Factors.,2024 Dec,,,Unknown
39781954,Dementia Care Practice.,2024 Dec,,,Unknown
39781751,Intracellular Co-Delivery of Carbon Monoxide and Nitric Oxide Induces Mitochondrial Apoptosis for Cancer Therapy.,2025 Jan 9,,,Unknown
39781734,"Marine-Derived Compound Targeting mTOR and FGFR-2: A Promising Strategy for Breast, Lung, and Colorectal Cancer Therapy.",2025 Jan 7,,,Unknown
39781731,Observation on the Therapeutic Efficacy of Camrelizumab Combined with Chemotherapy in Non-small Cell Lung Cancer and the Cutaneous Immune-related Adverse Events: A Retrospective Study.,2025 Jan 7,,,Unknown
39781729,Benzimidazole Derivatives in Breast Cancer: Target-Specific Therapeutic Breakthroughs.,2025 Jan 7,,,Unknown
39781724,A Novel Prognostic Risk Model Based on Oxidative Stress to Predict Survival and Improve Treatment Strategies in Stomach Adenocarcinoma.,2025 Jan 7,,,Unknown
39781718,CRISPR/Cas System: A Powerful Strategy to Improve Monogenic Human Diseases as Therapeutic Delivery; Current Applications and Challenges.,2025 Jan 7,,,Unknown
39781716,pH-sensitive Silk Fibroin Nanoparticles Encapsulating Β-Hydroxyisovalerylshikonin for Targeted Pancreatic Cancer Therapy.,2025 Jan 7,,,Unknown
39781604,Machine Learning-Assisted Prediction of Photothermal Metal-Phenolic Networks.,2025 Jan 9,,,Unknown
39781586,Prognostic Value of Tumor Regression Grade Combined with Pathological Lymph Node Status in Initially Node-Positive Rectal Cancer Treated with Neoadjuvant Chemoradiotherapy.,2025 Jan 3,,,Unknown
39781576,Patient and Caregiver Perceptions of Caregiving Contributions During Cancer Clinical Trials: A Mixed-Methods Study.,2025 Jan,,,Unknown
39781572,Pretreatment Fatigue in Breast Cancer Patients: Comparison With Healthy Controls and Associations With Biopsychosocial Variables.,2025 Jan,,,Unknown
39781570,Exploring vimentin's role in breast cancer via PICK1 alternative polyadenylation and the miR-615-3p-PICK1 interaction.,2025 Jan-Feb,,,Unknown
39781520,PUF60 Promotes Chemoresistance Through Drug Efflux and Reducing Apoptosis in Gastric Cancer.,2025,,,Unknown
39781469,Downregulated CCND3 Is a Key Event Driving Lung Adenocarcinoma Metastasis during Acquired Cisplatin Resistance.,2025,,,Unknown
39781466,S6K1 is a Targetable Vulnerability in Tumors Exhibiting Plasticity and Therapy Resistance.,2025,,,Unknown
39781459,"New insights into mitochondrial quality control in anthracycline-induced cardiotoxicity: molecular mechanisms, therapeutic targets, and natural products.",2025,,,Unknown
39781457,The Cyclin-Dependent Kinase 8 Inhibitor E966-0530-45418 Attenuates Pulmonary Fibrosis In Vitro and In Vivo.,2025,,,Unknown
39781447,Smad2 Cooperating with TGIF2 Contributes to EMT and Cancer Stem Cells Properties in Pancreatic Cancer via Co-Targeting SOX2.,2025,,,Unknown
39781381,Anti-Mesothelin CAR-NK cells as a novel targeted therapy against cervical cancer.,2024,,,Unknown
39781376,A case of pityriasis rubra pilaris secondary to ponatinib.,2025,,,Unknown
39781363,Cold exposure reinstates NAD(+) levels and attenuates hepatocellular carcinoma.,2024,,,Unknown
39781350,A Novel Oncolytic Virus Formulation Based on Mesenchymal Stem Cell-Derived Vesicles for Tumor Therapy.,2025,,,Unknown
39781349,Lasalocid inhibits melanoma by down-regulating FOXM1 through PI3K/AKT and JNK/P38 MAPK pathways.,2025,,,Unknown
39781346,Radiation Therapy Improves Survival in Patients with Distant Metastatic Head and Neck Squamous Cell Carcinoma: A Retrospective Study.,2025,,,Unknown
39781342,The Clinical Prediction Value of the Ubiquitination Model Reflecting the Microenvironment Infiltration and Drug Sensitivity in Breast Cancer.,2025,,,Unknown
39781339,Unlocking the Hidden Potential of Cancer Therapy Targeting Lysine Succinylation.,2025,,,Unknown
